name,registeredUsers,appOpens,year,quarter,state
lower dibang valley district,1286,0,2018,3,arunachal-pradesh
longding district,644,0,2018,3,arunachal-pradesh
west siang district,1652,0,2018,3,arunachal-pradesh
kamle district,65,0,2018,3,arunachal-pradesh
upper siang district,646,0,2018,3,arunachal-pradesh
kurung kumey district,222,0,2018,3,arunachal-pradesh
siang district,373,0,2018,3,arunachal-pradesh
kra daadi district,190,0,2018,3,arunachal-pradesh
changlang district,2889,0,2018,3,arunachal-pradesh
pakke kessang district,103,0,2018,3,arunachal-pradesh
east siang district,3590,0,2018,3,arunachal-pradesh
upper subansiri district,1169,0,2018,3,arunachal-pradesh
tawang district,3112,0,2018,3,arunachal-pradesh
namsai district,1862,0,2018,3,arunachal-pradesh
lower subansiri district,1459,0,2018,4,arunachal-pradesh
tirap district,1684,0,2018,4,arunachal-pradesh
papum pare district,21342,0,2018,4,arunachal-pradesh
anjaw district,744,0,2018,4,arunachal-pradesh
lower siang district,936,0,2018,4,arunachal-pradesh
dibang valley district,178,0,2018,4,arunachal-pradesh
west kameng district,6492,0,2018,4,arunachal-pradesh
shi yomi district,144,0,2018,4,arunachal-pradesh
east kameng district,691,0,2018,4,arunachal-pradesh
lohit district,3588,0,2018,4,arunachal-pradesh
lepa rada district,548,0,2018,4,arunachal-pradesh
lower dibang valley district,1827,0,2018,4,arunachal-pradesh
longding district,923,0,2018,4,arunachal-pradesh
west siang district,2117,0,2018,4,arunachal-pradesh
kamle district,109,0,2018,4,arunachal-pradesh
upper siang district,868,0,2018,4,arunachal-pradesh
kurung kumey district,321,0,2018,4,arunachal-pradesh
siang district,483,0,2018,4,arunachal-pradesh
kra daadi district,255,0,2018,4,arunachal-pradesh
changlang district,4036,0,2018,4,arunachal-pradesh
pakke kessang district,138,0,2018,4,arunachal-pradesh
east siang district,4813,0,2018,4,arunachal-pradesh
upper subansiri district,1576,0,2018,4,arunachal-pradesh
tawang district,4085,0,2018,4,arunachal-pradesh
namsai district,2495,0,2018,4,arunachal-pradesh
lower subansiri district,1879,0,2019,1,arunachal-pradesh
tirap district,2082,0,2019,1,arunachal-pradesh
papum pare district,26298,0,2019,1,arunachal-pradesh
anjaw district,934,0,2019,1,arunachal-pradesh
lower siang district,1123,0,2019,1,arunachal-pradesh
dibang valley district,211,0,2019,1,arunachal-pradesh
west kameng district,8115,0,2019,1,arunachal-pradesh
shi yomi district,186,0,2019,1,arunachal-pradesh
east kameng district,876,0,2019,1,arunachal-pradesh
lohit district,4416,0,2019,1,arunachal-pradesh
lepa rada district,710,0,2019,1,arunachal-pradesh
lower dibang valley district,2314,0,2019,1,arunachal-pradesh
longding district,1152,0,2019,1,arunachal-pradesh
west siang district,2656,0,2019,1,arunachal-pradesh
kamle district,141,0,2019,1,arunachal-pradesh
upper siang district,1125,0,2019,1,arunachal-pradesh
kurung kumey district,385,0,2019,1,arunachal-pradesh
siang district,651,0,2019,1,arunachal-pradesh
kra daadi district,350,0,2019,1,arunachal-pradesh
changlang district,5210,0,2019,1,arunachal-pradesh
pakke kessang district,162,0,2019,1,arunachal-pradesh
east siang district,5899,0,2019,1,arunachal-pradesh
upper subansiri district,1906,0,2019,1,arunachal-pradesh
tawang district,5023,0,2019,1,arunachal-pradesh
namsai district,3153,0,2019,1,arunachal-pradesh
lower subansiri district,2463,11644,2019,2,arunachal-pradesh
tirap district,2697,12779,2019,2,arunachal-pradesh
papum pare district,32800,163673,2019,2,arunachal-pradesh
anjaw district,1175,4993,2019,2,arunachal-pradesh
lower siang district,1457,7737,2019,2,arunachal-pradesh
dibang valley district,241,258,2019,2,arunachal-pradesh
west kameng district,9782,73944,2019,2,arunachal-pradesh
shi yomi district,225,24,2019,2,arunachal-pradesh
