type,count,amount,name,from,to,year,quarter,state
TOTAL,243375,283709438.5363142,Merchant payments,1617215400000,1624818600000,2021,2,arunachal-pradesh
TOTAL,1582,2761076.7934988844,Financial Services,1617215400000,1624818600000,2021,2,arunachal-pradesh
TOTAL,3755,3415105.3379601175,Others,1617215400000,1624818600000,2021,2,arunachal-pradesh
TOTAL,986088,5033603845.032885,Peer-to-peer payments,1625077800000,1632767400000,2021,3,arunachal-pradesh
TOTAL,600102,187390578.30403775,Recharge & bill payments,1625077800000,1632767400000,2021,3,arunachal-pradesh
TOTAL,314658,449869060.7842621,Merchant payments,1625077800000,1632767400000,2021,3,arunachal-pradesh
TOTAL,1934,3348547.8272713376,Financial Services,1625077800000,1632767400000,2021,3,arunachal-pradesh
TOTAL,4185,3912143.3503634185,Others,1625077800000,1632767400000,2021,3,arunachal-pradesh
TOTAL,1227616,6022733378.120082,Peer-to-peer payments,1633026600000,1640629800000,2021,4,arunachal-pradesh
TOTAL,633248,207784816.33218512,Recharge & bill payments,1633026600000,1640629800000,2021,4,arunachal-pradesh
TOTAL,521447,704195694.9939187,Merchant payments,1633026600000,1640629800000,2021,4,arunachal-pradesh
TOTAL,2386,3933557.2795471298,Financial Services,1633026600000,1640629800000,2021,4,arunachal-pradesh
TOTAL,5901,4862905.885615055,Others,1633026600000,1640629800000,2021,4,arunachal-pradesh
TOTAL,632092,93491181.14056379,Recharge & bill payments,1514745000000,1522175400000,2018,1,assam
TOTAL,318025,993525195.9818655,Peer-to-peer payments,1514745000000,1522175400000,2018,1,assam
TOTAL,40482,34501622.89266755,Merchant payments,1514745000000,1522175400000,2018,1,assam
TOTAL,18172,4936862.200688562,Financial Services,1514745000000,1522175400000,2018,1,assam
TOTAL,48110,31349593.99668264,Others,1514745000000,1522175400000,2018,1,assam
TOTAL,984160,174427478.21340805,Recharge & bill payments,1522521000000,1530124200000,2018,2,assam
TOTAL,530781,2064314053.1339972,Peer-to-peer payments,1522521000000,1530124200000,2018,2,assam
TOTAL,79307,73366344.80739225,Merchant payments,1522521000000,1530124200000,2018,2,assam
TOTAL,22773,7051504.657611102,Financial Services,1522521000000,1530124200000,2018,2,assam
TOTAL,46852,31425754.725386057,Others,1522521000000,1530124200000,2018,2,assam
TOTAL,1275136,254569069.32411742,Recharge & bill payments,1530383400000,1538073000000,2018,3,assam
TOTAL,843571,3424136709.5088205,Peer-to-peer payments,1530383400000,1538073000000,2018,3,assam
TOTAL,159532,96783839.37466942,Merchant payments,1530383400000,1538073000000,2018,3,assam
TOTAL,22677,4741123.821880115,Financial Services,1530383400000,1538073000000,2018,3,assam
TOTAL,50935,30904247.884785894,Others,1530383400000,1538073000000,2018,3,assam
