type,count,amount,name,year,quarter,state
TOTAL,13243292,32529351107.17173,kurnool district,2020,3,andhra-pradesh
TOTAL,20501863,42811566246.16463,chittoor district,2020,3,andhra-pradesh
TOTAL,17601395,42531195809.75448,guntur district,2020,3,andhra-pradesh
TOTAL,19110457,44788458672.084435,krishna district,2020,3,andhra-pradesh
TOTAL,25989490,58732615663.118416,east godavari district,2020,4,andhra-pradesh
TOTAL,11092184,25222520275.27882,srikakulam district,2020,4,andhra-pradesh
TOTAL,20934374,49115443663.37911,spsr nellore district,2020,4,andhra-pradesh
TOTAL,10580824,24094847668.445065,vizianagaram district,2020,4,andhra-pradesh
TOTAL,46551467,91879823025.40399,visakhapatnam district,2020,4,andhra-pradesh
TOTAL,16176867,41852443493.515396,prakasam district,2020,4,andhra-pradesh
TOTAL,20996384,49732610814.26222,anantapur district,2020,4,andhra-pradesh
TOTAL,15676878,42572974713.44026,ysr district,2020,4,andhra-pradesh
TOTAL,15674762,40310975762.603455,west godavari district,2020,4,andhra-pradesh
TOTAL,18737323,44718203115.22612,kurnool district,2020,4,andhra-pradesh
TOTAL,29590411,61505711149.79541,chittoor district,2020,4,andhra-pradesh
TOTAL,26136538,60641872021.25432,guntur district,2020,4,andhra-pradesh
TOTAL,27981050,64461504667.60723,krishna district,2020,4,andhra-pradesh
TOTAL,26190701,60027984987.96951,east godavari district,2021,1,andhra-pradesh
TOTAL,11160473,26486623313.092724,srikakulam district,2021,1,andhra-pradesh
TOTAL,22541428,52210333201.53073,spsr nellore district,2021,1,andhra-pradesh
TOTAL,10514582,24153782497.243248,vizianagaram district,2021,1,andhra-pradesh
TOTAL,48248923,95308386037.84721,visakhapatnam district,2021,1,andhra-pradesh
TOTAL,15175395,41396223622.174774,prakasam district,2021,1,andhra-pradesh
TOTAL,20102957,48353870395.01808,anantapur district,2021,1,andhra-pradesh
TOTAL,15374473,42570919448.50447,ysr district,2021,1,andhra-pradesh
TOTAL,16015685,42124030669.36126,west godavari district,2021,1,andhra-pradesh
TOTAL,17918524,44941629659.56964,kurnool district,2021,1,andhra-pradesh
TOTAL,29342609,60947491846.66089,chittoor district,2021,1,andhra-pradesh
TOTAL,27445045,64207987853.108406,guntur district,2021,1,andhra-pradesh
TOTAL,29717175,69715406644.53485,krishna district,2021,1,andhra-pradesh
TOTAL,31717908,74604325863.66068,east godavari district,2021,2,andhra-pradesh
TOTAL,13546232,32298129544.540867,srikakulam district,2021,2,andhra-pradesh
TOTAL,30290406,72283071757.09679,spsr nellore district,2021,2,andhra-pradesh
TOTAL,12689494,29140685236.830723,vizianagaram district,2021,2,andhra-pradesh
TOTAL,54390299,114439012713.35336,visakhapatnam district,2021,2,andhra-pradesh
TOTAL,19944047,54535328043.04135,prakasam district,2021,2,andhra-pradesh
TOTAL,25123346,60987487571.279915,anantapur district,2021,2,andhra-pradesh
TOTAL,18457361,52523527031.02132,ysr district,2021,2,andhra-pradesh
TOTAL,20950964,57233116236.18796,west godavari district,2021,2,andhra-pradesh
TOTAL,21972396,56659287474.995804,kurnool district,2021,2,andhra-pradesh
TOTAL,34344902,73654690122.43158,chittoor district,2021,2,andhra-pradesh
TOTAL,32968819,82356914463.83287,guntur district,2021,2,andhra-pradesh
TOTAL,36370960,90021923049.96454,krishna district,2021,2,andhra-pradesh
TOTAL,39572714,89380370072.7078,east godavari district,2021,3,andhra-pradesh
TOTAL,15639768,34836400769.876816,srikakulam district,2021,3,andhra-pradesh
TOTAL,34411958,77839676988.30869,spsr nellore district,2021,3,andhra-pradesh
TOTAL,14510005,31383541628.212524,vizianagaram district,2021,3,andhra-pradesh
TOTAL,69220981,136945652159.26515,visakhapatnam district,2021,3,andhra-pradesh
TOTAL,24116580,63367713446.928055,prakasam district,2021,3,andhra-pradesh
TOTAL,30366444,70291248155.64975,anantapur district,2021,3,andhra-pradesh
TOTAL,22439316,60683557724.652336,ysr district,2021,3,andhra-pradesh
TOTAL,26245039,66647238455.1675,west godavari district,2021,3,andhra-pradesh
TOTAL,26377809,62527453761.59807,kurnool district,2021,3,andhra-pradesh
TOTAL,42628568,89371931753.04831,chittoor district,2021,3,andhra-pradesh
TOTAL,41675093,96525353090.12305,guntur district,2021,3,andhra-pradesh
TOTAL,44828275,104417897558.58972,krishna district,2021,3,andhra-pradesh
TOTAL,48992531,106725597026.00356,east godavari district,2021,4,andhra-pradesh
TOTAL,18501857,39713657870.15512,srikakulam district,2021,4,andhra-pradesh
TOTAL,41921081,92256405076.26547,spsr nellore district,2021,4,andhra-pradesh
TOTAL,17253059,36577529464.9687,vizianagaram district,2021,4,andhra-pradesh
TOTAL,82711538,159530099772.73474,visakhapatnam district,2021,4,andhra-pradesh
TOTAL,27858275,71323060008.47623,prakasam district,2021,4,andhra-pradesh
TOTAL,36129136,81239787006.64764,anantapur district,2021,4,andhra-pradesh
TOTAL,26340348,69081850069.2033,ysr district,2021,4,andhra-pradesh
TOTAL,33235175,81292461575.08182,west godavari district,2021,4,andhra-pradesh
TOTAL,31782248,73968947669.64754,kurnool district,2021,4,andhra-pradesh
TOTAL,51119640,103985734663.73514,chittoor district,2021,4,andhra-pradesh
TOTAL,50919286,115553993673.17337,guntur district,2021,4,andhra-pradesh
TOTAL,55489829,125015323207.89836,krishna district,2021,4,andhra-pradesh
TOTAL,1356,1076236.814073793,lower dibang valley district,2018,1,arunachal-pradesh
TOTAL,1477,3650727.893614269,lower subansiri district,2018,1,arunachal-pradesh
TOTAL,2321,4361531.578447229,longding district,2018,1,arunachal-pradesh
TOTAL,1887,4796675.565399804,west siang district,2018,1,arunachal-pradesh
TOTAL,14,7971.330494807651,kamle district,2018,1,arunachal-pradesh
TOTAL,126,186610.66988095018,upper siang district,2018,1,arunachal-pradesh
TOTAL,945,1064265.0002443574,tirap district,2018,1,arunachal-pradesh
TOTAL,14224,32555848.462331478,papum pare district,2018,1,arunachal-pradesh
TOTAL,84,99416.58027150274,kurung kumey district,2018,1,arunachal-pradesh
TOTAL,252,339471.80434222345,siang district,2018,1,arunachal-pradesh
TOTAL,1292,2337960.7148240386,lower siang district,2018,1,arunachal-pradesh
TOTAL,207,495375.1454853307,kra daadi district,2018,1,arunachal-pradesh
TOTAL,3195,5380749.415278763,changlang district,2018,1,arunachal-pradesh
TOTAL,9,9131.404205737199,pakke kessang district,2018,1,arunachal-pradesh
TOTAL,2,169.88856537681642,dibang valley district,2018,1,arunachal-pradesh
TOTAL,5787,9540632.547015157,west kameng district,2018,1,arunachal-pradesh
TOTAL,3286,5533620.186295529,east siang district,2018,1,arunachal-pradesh
TOTAL,735,1358367.5018580484,upper subansiri district,2018,1,arunachal-pradesh
TOTAL,529,473824.76595106337,east kameng district,2018,1,arunachal-pradesh
TOTAL,3747,11496949.54576835,lohit district,2018,1,arunachal-pradesh
TOTAL,288,403149.46702687367,lepa rada district,2018,1,arunachal-pradesh
TOTAL,2334,5055665.022950603,tawang district,2018,1,arunachal-pradesh
TOTAL,1400,2162984.705083958,namsai district,2018,1,arunachal-pradesh
TOTAL,1827,2561237.506207262,lower dibang valley district,2018,2,arunachal-pradesh
TOTAL,1666,4113742.04406352,lower subansiri district,2018,2,arunachal-pradesh
TOTAL,4634,10271170.165521314,longding district,2018,2,arunachal-pradesh
TOTAL,2579,7610989.567485569,west siang district,2018,2,arunachal-pradesh
TOTAL,12,23654.058373191845,kamle district,2018,2,arunachal-pradesh
TOTAL,240,494895.09277159756,upper siang district,2018,2,arunachal-pradesh
TOTAL,1903,3126393.7649546335,tirap district,2018,2,arunachal-pradesh
TOTAL,25363,66520931.20355793,papum pare district,2018,2,arunachal-pradesh
TOTAL,83,123737.2220411206,kurung kumey district,2018,2,arunachal-pradesh
TOTAL,7,7871.020814692305,anjaw district,2018,2,arunachal-pradesh
TOTAL,336,740232.6309634304,siang district,2018,2,arunachal-pradesh
TOTAL,2292,2179451.657976534,lower siang district,2018,2,arunachal-pradesh
TOTAL,247,987135.9959717204,kra daadi district,2018,2,arunachal-pradesh
TOTAL,6066,13294258.50337311,changlang district,2018,2,arunachal-pradesh
TOTAL,48,58359.57138935899,pakke kessang district,2018,2,arunachal-pradesh
TOTAL,68,65769.2036735354,dibang valley district,2018,2,arunachal-pradesh
TOTAL,10466,25521321.34140157,west kameng district,2018,2,arunachal-pradesh
