entityName,metric.type,metric.count,metric.amount,year,quarter,state
744211,TOTAL,10182,20377949.346094526,2021,2,andaman-&-nicobar-islands
744112,TOTAL,9635,21637658.167199604,2021,2,andaman-&-nicobar-islands
744301,TOTAL,8463,27666837.39688266,2021,2,andaman-&-nicobar-islands
south andaman,TOTAL,382418,1116789010.6459613,2021,3,andaman-&-nicobar-islands
north and middle andaman,TOTAL,46592,118254865.82750683,2021,3,andaman-&-nicobar-islands
nicobars,TOTAL,20754,74980519.32813609,2021,3,andaman-&-nicobar-islands
744101,TOTAL,116324,388328168.7639693,2021,3,andaman-&-nicobar-islands
744103,TOTAL,84790,246433385.80990067,2021,3,andaman-&-nicobar-islands
744105,TOTAL,67257,185238368.4767078,2021,3,andaman-&-nicobar-islands
744102,TOTAL,43850,131239564.16909727,2021,3,andaman-&-nicobar-islands
744202,TOTAL,19088,48475163.574293144,2021,3,andaman-&-nicobar-islands
744107,TOTAL,16203,37962312.09641009,2021,3,andaman-&-nicobar-islands
744104,TOTAL,14657,35301326.114471875,2021,3,andaman-&-nicobar-islands
744112,TOTAL,11565,28491553.61094001,2021,3,andaman-&-nicobar-islands
744301,TOTAL,11553,43464511.051198,2021,3,andaman-&-nicobar-islands
744211,TOTAL,9655,19497765.257140517,2021,3,andaman-&-nicobar-islands
south andaman,TOTAL,558571,1694794708.0093331,2021,4,andaman-&-nicobar-islands
north and middle andaman,TOTAL,53115,156486112.28732437,2021,4,andaman-&-nicobar-islands
nicobars,TOTAL,24437,81329281.0269996,2021,4,andaman-&-nicobar-islands
744101,TOTAL,165719,533026207.9731797,2021,4,andaman-&-nicobar-islands
744103,TOTAL,121613,372243734.27985656,2021,4,andaman-&-nicobar-islands
744105,TOTAL,95028,281223411.7435058,2021,4,andaman-&-nicobar-islands
744102,TOTAL,58258,174623253.47653326,2021,4,andaman-&-nicobar-islands
744211,TOTAL,27938,94222862.10725296,2021,4,andaman-&-nicobar-islands
744104,TOTAL,25662,69245386.0816525,2021,4,andaman-&-nicobar-islands
744202,TOTAL,21913,67790798.04849821,2021,4,andaman-&-nicobar-islands
744107,TOTAL,21397,52036029.9980372,2021,4,andaman-&-nicobar-islands
